arise,arose,arisen
awake,awoke,awoke
bear,bore,borne
beat,beat,beaten
become,became,become
begin,began,begun
bend,bent,bent
bet,bet,bet
bid,bid,bid
bid,bade,bidden
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burned,burned
burst,burst,burst
buy,bought,bought
cast,cast,cast
catch,caught,caught
choose,chose,chosen
cling,clung,clung
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
dive,dove,dived
do,did,done
draw,drew,drawn
dream,dreamed,dreamed
drink,drank,drunk
drive,drove,driven
dwell,dwelt,dwelt
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fit,'fit, fitted','fit, fitted'
flee,fled,fled
fling,flung,flung
fly,flew,flown
forbid,forbade,forbidden
forecast,forecast,forecast
forget,forgot,forgotten
forgive,forgave,forgiven
forego,forewent,foregone
forgo,forwent,forgone
forsake,forsook,forsaken
freeze,froze,frozen
get,got,gotten
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
kneel,knelt,knelt
knit,knit,knit
know,knew,known
lay,laid,laid
lead,led,led
lean,leant,leant
leap,leapt,leapt
learn,learnt,learnt
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
light,lit,lit
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
mislay,mislaid,mislaid
misspell,misspelt,misspelt
mistake,mistook,mistaken
mow,mowed,mown
overcome,overcame,overcome
overdo,overdid,overdone
overtake,overtook,overtaken
overthrow,overthrew,overthrown
pay,paid,paid
plead,pleaded,pleaded
prove,proved,'proved, proven'
put,put,put
read,read,read
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
saw,sawed,sawn
say,said,said
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
sew,sewed,sewn
shake,shook,shaken
shave,shaved,shaven
shear,sheared,shorn
shed,shed,shed
shine,shone,shone
shoe,shoed,shoed
shoot,shot,shot
show,showed,shown
shrink,shrank,shrunk
shut,shut,shut
sing,sang,sung
sink,sank,sunk
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
sling,slung,slung
slit,slit,slit
smell,smelt,smelt
smite,smote,smitten
sow,sowed,'sown, sowed'
speak,spoke,spoken
speed,sped,sped
spell,spelt,spelt
spend,spent,spent
spill,spilt,spilt
spin,spun,spun
spit,'spat, spit','spat, spit'
split,split,split
spoil,spoilt,spoilt
spread,spread,spread
spring,sprang,sprung
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
sting,stung,stung
stink,stank,stunk
stride,strode,stridden
strike,struck,struck
string,strung,strung
strive,strove,striven
swear,swore,sworn
sweep,swept,swept
swell,swelled,swollen
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
thrive,throve,thrived
throw,threw,thrown
thrust,thrust,thrust
tread,trod,trodden
understand,understood,understood
undertake,undertook,undertaken
uphold,upheld,upheld
upset,upset,upset
wake,woke,woken
wear,wore,worn
weave,wove,woven
weep,wept,wept
wind,wound,wound
win,won,won
withdraw,withdrew,withdrawn
withhold,withheld,withheld
withstand,withstood,withstood
wring,wrung,wrung
write,wrote,written
